Date,Open,High,Low,Close,Volume,Adj. Close*
17-Mar-06,11294.94,11294.94,11253.23,11279.65,2549619968,11279.65
16-Mar-06,11210.97,11324.8,11176.07,11253.24,2292179968,11253.24
15-Mar-06,11149.76,11258.28,11097.23,11209.77,2292999936,11209.77
14-Mar-06,11076.02,11190.96,11030.23,11151.34,2165270016,11151.34
13-Mar-06,11067.61,11157.82,11019.75,11076.02,2070329984,11076.02
10-Mar-06,10972.92,11125.41,10948.43,11076.34,2123449984,11076.34
09-Mar-06,11005.66,11093.39,10923.86,10972.28,2140109952,10972.28
08-Mar-06,10977.08,11065.61,10885.99,11005.74,2442870016,11005.74
07-Mar-06,10957.31,11032.31,10885.35,10980.69,2268049920,10980.69
06-Mar-06,11022.47,11084.66,10899.76,10958.59,2280189952,10958.59
03-Mar-06,11024.23,11125.01,10942.99,11021.59,2152950016,11021.59
02-Mar-06,11052.57,11090.91,10951.71,11025.51,2494589952,11025.51
